2025-07-02 15:53:19,314 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:53:19,463 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 15:53:19,572 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:53:19,573 | INFO     | CheckerApp | _setup_workflow_routes:1959 | [ROUTING] Workflow routing system setup complete
2025-07-02 15:53:19,630 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:53:19,760 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 15:53:19,799 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:53:19,800 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 15:54:02,052 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:54:02,193 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 15:54:02,284 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:54:02,285 | INFO     | CheckerApp | _setup_workflow_routes:2020 | [ROUTING] Workflow routing system setup complete
2025-07-02 15:54:02,338 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:54:02,466 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 15:54:02,504 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:54:02,505 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 15:54:39,396 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:54:39,499 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,500 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,500 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,502 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,502 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,503 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,545 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 15:54:39,646 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
